freq,Aux1,calc,mouse,experiment_phase
0.0,0.2625481077608197,baseline,I2,After KET
1.4275517487508922,2.0138496601696496,baseline,I2,After KET
2.8551034975017844,1.9178996968007938,baseline,I2,After KET
4.282655246252677,1.564480333243623,baseline,I2,After KET
5.710206995003569,1.534474771965019,baseline,I2,After KET
7.1377587437544605,1.2955350238227732,baseline,I2,After KET
8.565310492505354,1.2577735840277018,baseline,I2,After KET
9.992862241256246,0.9907722564877972,baseline,I2,After KET
11.420413990007138,0.7093903638779082,baseline,I2,After KET
12.84796573875803,0.5222131001160495,baseline,I2,After KET
14.275517487508921,0.3846086119421633,baseline,I2,After KET
15.703069236259815,0.22316334199599805,baseline,I2,After KET
17.130620985010708,0.18865897883777133,baseline,I2,After KET
18.558172733761598,0.26569512494328246,baseline,I2,After KET
19.98572448251249,0.12486237407130957,baseline,I2,After KET
21.41327623126338,-0.025753458123212142,baseline,I2,After KET
22.840827980014275,0.014242415193959601,baseline,I2,After KET
24.26837972876517,-0.036392695441814435,baseline,I2,After KET
25.69593147751606,-0.15743815864508906,baseline,I2,After KET
27.123483226266952,-0.12025974594814147,baseline,I2,After KET
28.551034975017842,-0.1655635646827128,baseline,I2,After KET
29.978586723768736,-0.2528927884421225,baseline,I2,After KET
31.40613847251963,-0.3551349536953516,baseline,I2,After KET
32.83369022127052,-0.4043524547456857,baseline,I2,After KET
34.261241970021416,-0.3960877931471024,baseline,I2,After KET
35.6887937187723,-0.5382380515763281,baseline,I2,After KET
37.116345467523196,-0.6184795132009009,baseline,I2,After KET
38.54389721627409,-0.8195258835080073,baseline,I2,After KET
39.97144896502498,-0.8698722218533707,baseline,I2,After KET
41.39900071377588,-0.9471481188283957,baseline,I2,After KET
42.82655246252676,-1.1867806203206315,baseline,I2,After KET
44.25410421127766,-1.3649060385963625,baseline,I2,After KET
45.68165596002855,-1.6008050740930124,baseline,I2,After KET
47.109207708779444,-1.8491619544819267,baseline,I2,After KET
48.53675945753034,-1.9429481072415669,baseline,I2,After KET
49.964311206281224,-1.4557283706427335,baseline,I2,After KET
51.39186295503212,-1.6721081841040877,baseline,I2,After KET
52.81941470378301,-1.5633483113384432,baseline,I2,After KET
54.246966452533904,-1.3629765309234942,baseline,I2,After KET
55.6745182012848,-1.2603691832180903,baseline,I2,After KET
57.102069950035684,-1.1987320639894559,baseline,I2,After KET
58.52962169878658,-1.0088853221952891,baseline,I2,After KET
59.95717344753747,-0.9603490416140678,baseline,I2,After KET
61.384725196288365,-0.9172998138666589,baseline,I2,After KET
